hipparcos_id,ra_deg,dec_deg,mag,hp_mag
7506,24.18654131,-58.27096783,6.18,6.2334
7507,24.18776164,-21.44964243,10.01,10.1069
7508,24.1898112,15.24863996,9.53,9.6973
7509,24.19028017,-22.44205616,8.26,8.4237
7510,24.19001207,-40.14877422,8.41,8.4926
7511,24.19475132,48.31546835,7.42,7.5101
7512,24.19591044,63.41448806,7.6,7.6378
7513,24.19990403,41.40638473,4.1,4.2118
7514,24.20138422,-48.80397886,6.85,7.0102
7515,24.20202958,59.62606379,7.17,7.2561
7516,24.20203513,32.8535983,7.69,7.8548
7517,24.20349082,-32.29714383,7.15,7.3002
7518,24.20452622,-7.4510745,8.42,8.5195
7519,24.20478567,-14.38530583,8.68,8.7073
7520,24.20852311,22.44159519,8.28,8.3144
7521,24.2105268,61.81611442,8.19,8.3482
7522,24.21175429,33.66008189,8.55,8.6225
7523,24.21345676,48.07895577,9.48,9.6152
7524,24.21395094,57.03699152,8.37,8.4701
7525,24.22112402,8.86109926,9.41,9.52
7526,24.22278121,-37.34108323,11.38,11.526
7527,24.22415234,-0.53060867,8.96,9.0808
7528,24.23659888,53.10572553,9.33,9.4558
7529,24.23953304,51.26051946,8.77,8.9284
7530,24.24866115,-25.63497732,9.3,9.4614
7531,24.25473782,-0.77805369,8.61,8.7322
7532,24.25883304,5.63097597,8.19,8.3252
7533,24.2599587,-54.55799532,9.45,9.5953
7534,24.26665137,-42.38698854,9.22,9.3209
7535,24.27483894,12.14151075,5.54,5.6279
7536,24.27578585,49.07589778,7.58,7.6761
7537,24.28128145,-48.2908332,7.92,8.0271
7538,24.28292253,51.33120642,8.98,9.048
7539,24.28515024,-29.39309275,8.14,8.2842
7540,24.28967902,48.71186954,8.79,8.8343
7541,24.29029477,-25.01522575,8.25,8.3521
7542,24.29195219,-56.27065805,9.23,9.4031
7543,24.29391708,-61.93528338,8.72,8.8606
7544,24.29709474,-2.71836208,9.49,9.6103
7545,24.29690515,-54.47882991,10.14,10.2617
7546,24.30528149,-4.14285942,7.79,7.9534
7547,24.30740137,-19.3717096,8.17,8.3389
7548,24.30841884,57.75922272,9.24,9.4935
7549,24.31735006,-0.3501308,7.08,7.2137
7550,24.32038116,46.45960198,7.81,7.9115
7551,24.32128385,46.94873896,7.86,7.8891
7552,24.32750549,-40.17732997,8.14,8.213
7553,24.32865329,-17.48435671,9.81,9.9371
7554,24.33490488,-49.19594123,10.39,10.4736
7555,24.33693483,-12.73844485,7.96,8.0817
7556,24.33900973,-51.440595,9.2,9.3619
7557,24.34243055,74.30096209,6.58,6.593
7558,24.34291202,19.91251545,9.86,9.9886
7559,24.34528936,58.63741152,7.25,7.2622
7560,24.34757484,-82.2817447,7.15,7.3059
7561,24.35215016,9.59407972,8.44,8.6047
7562,24.35421648,-45.67793105,9.28,9.3927
7563,24.35440275,55.07080311,7.47,7.634
7564,24.3551271,25.16827397,6.99,7.1493
7565,24.3584776,-15.99773965,7.99,8.1458
7566,24.35907405,58.63907209,8.97,9.0503
7567,24.36197156,-12.44093324,8.41,8.5738
7568,24.36575014,-84.76964997,5.66,5.8263
7569,24.37817109,36.70688353,8.29,8.3506
7570,24.38230592,23.03299173,10.36,10.4844
7571,24.38330203,18.67536108,9.12,9.285
7572,24.38352401,38.51617616,8.3,8.4713
7573,24.38449329,-47.11182586,8.27,8.3512
7574,24.38560392,-38.13490567,7.27,7.4091
7575,24.39210013,11.98223046,9.38,9.5428
7576,24.39735718,-6.76018618,7.66,7.8013
7577,24.40067108,54.11254575,8.69,8.7326
7578,24.40253139,-10.81589946,9.98,10.0674
7579,24.40308085,-49.26460387,9.59,9.731
7580,24.40648899,-9.40405168,6.24,6.3546
7581,24.40933341,-75.42955833,8.37,8.5119
7582,24.41075668,-26.30363006,11.44,11.5902
7583,24.41117125,22.55713579,7.8,7.9094
7584,24.41806969,-23.82837907,9.96,10.0831
7585,24.42002983,12.07836586,6.77,6.8998
7586,24.42177931,-25.56779283,9.01,9.1272
7587,24.42299213,33.03014386,11.01,11.1653
7588,24.42813208,-57.23665985,0.45,0.4233
7589,24.43484473,48.41273304,6.77,6.8974
7590,24.4349696,67.59030614,8.38,8.5276
7591,24.44110771,-47.1781846,7.58,7.7358
7592,24.4420201,84.48124675,8.56,8.67
7593,24.44666707,64.73935553,6.49,6.6365
7594,24.46061942,38.0223024,8.15,8.3093
7595,24.46076066,-14.93918704,9.63,9.7562
7596,24.46319949,-1.30425829,8.89,9.0232
7597,24.46688965,-3.44065204,6.43,6.5475
7598,24.46850406,62.79689672,8.72,8.5547
7599,24.47330842,-60.51154231,7.33,7.4622
7600,24.47891417,25.9040373,8.55,8.7107
7601,24.47908317,-82.97528853,5.88,6.0069
7602,24.48004932,-51.83130108,8.52,8.6898
